Date,Date,Open,High,Low,Close
2017-09-20,0,0.15649400651454926,0.18944799900054932,0.15248900651931763,0.18916499614715576
2017-09-21,1,0.18913200497627258,0.20789200067520142,0.15529200434684753,0.16967999935150146
2017-09-22,2,0.16982600092887878,0.1816750019788742,0.13986900448799133,0.1505029946565628
2017-09-23,3,0.14956200122833252,0.15744000673294067,0.1262969970703125,0.13112899661064148
2017-09-24,4,0.13110999763011932,0.1902499943971634,0.13027499616146088,0.17027799785137177
2017-09-25,5,0.17063599824905396,0.18263700604438782,0.1585800051689148,0.18219800293445587
2017-09-26,6,0.18203899264335632,0.2231619954109192,0.18203899264335632,0.19495800137519836
2017-09-27,7,0.1947370022535324,0.2060990035533905,0.19425299763679504,0.19458599388599396
2017-09-28,8,0.19337700307369232,0.2838200032711029,0.19131000339984894,0.2437949925661087
2017-09-29,9,0.24543699622154236,0.33493098616600037,0.21442100405693054,0.3084399998188019
2017-09-30,10,0.31249698996543884,0.47255799174308777,0.3000890016555786,0.45136401057243347
2017-10-01,11,0.4515469968318939,0.451884001493454,0.3820340037345886,0.4366469979286194
2017-10-02,12,0.43766701221466064,0.4402639865875244,0.3567669987678528,0.3567669987678528
2017-10-03,13,0.36725398898124695,0.36725398898124695,0.29581698775291443,0.345535010099411
2017-10-04,14,0.34318599104881287,0.3986949920654297,0.336883008480072,0.39736101031303406
2017-10-05,15,0.3970299959182739,0.4179059863090515,0.378042995929718,0.4065380096435547
2017-10-06,16,0.4063189923763275,0.4850499927997589,0.40434199571609497,0.4757649898529053
2017-10-07,17,0.472245991230011,0.47617098689079285,0.4237770140171051,0.4636569917201996
2017-10-08,18,0.46248599886894226,0.4734170138835907,0.3580789864063263,0.39713698625564575
2017-10-09,19,0.40450599789619446,0.4395599961280823,0.3571630120277405,0.38058900833129883
2017-10-10,20,0.3803989887237549,0.4330599904060364,0.3602510094642639,0.4074690043926239
2017-10-11,21,0.41634601354599,0.4541110098361969,0.4087870121002197,0.4504629969596863
2017-10-12,22,0.4528859853744507,0.4757649898529053,0.42302098870277405,0.44401100277900696
2017-10-13,23,0.44163599610328674,0.4737899899482727,0.41408199071884155,0.4346030056476593
2017-10-14,24,0.43484801054000854,0.4593679904937744,0.3892059922218323,0.3918600082397461
2017-10-15,25,0.39113399386405945,0.42369601130485535,0.3707199990749359,0.41351601481437683
2017-10-16,26,0.41552498936653137,0.5277220010757446,0.3894979953765869,0.4238069951534271
2017-10-17,27,0.42238301038742065,0.42238301038742065,0.35918301343917847,0.40084800124168396
2017-10-18,28,0.4027310013771057,0.4027310013771057,0.3257899880409241,0.36622899770736694
2017-10-19,29,0.3678080141544342,0.37726500630378723,0.29392099380493164,0.30000001192092896
2017-10-20,30,0.298907995223999,0.32395198941230774,0.21626999974250793,0.22387400269508362
2017-10-21,31,0.22343400120735168,0.2662990093231201,0.2032269984483719,0.2526809871196747
2017-10-22,32,0.258186012506485,0.2859790027141571,0.24982599914073944,0.2646949887275696
2017-10-23,33,0.2638559937477112,0.2768160104751587,0.22841200232505798,0.24867500364780426
2017-10-24,34,0.2447649985551834,0.29480600357055664,0.2361229956150055,0.25445300340652466
2017-10-25,35,0.25525298714637756,0.2577359974384308,0.2357719987630844,0.2544350028038025
2017-10-26,36,0.25403299927711487,0.25403299927711487,0.2241870015859604,0.22704100608825684
2017-10-27,37,0.22760100662708282,0.23507800698280334,0.21973399817943573,0.2246440052986145
2017-10-28,38,0.22461000084877014,0.2270040065050125,0.1992260068655014,0.20653100311756134
2017-10-29,39,0.20561300218105316,0.2187490016222,0.18271300196647644,0.19887599349021912
2017-10-30,40,0.19924600422382355,0.21086299419403076,0.19589799642562866,0.20984899997711182
2017-10-31,41,0.2114569991827011,0.22131100296974182,0.18471099436283112,0.19391199946403503
2017-11-01,42,0.19037200510501862,0.19037200510501862,0.1553110033273697,0.15761099755764008
2017-11-02,43,0.15679900348186493,0.19440600275993347,0.13843399286270142,0.16742700338363647
2017-11-03,44,0.1611430048942566,0.18829399347305298,0.15810400247573853,0.1717980057001114
2017-11-04,45,0.17029500007629395,0.185698002576828,0.1623850017786026,0.17760300636291504
2017-11-05,46,0.1769219934940338,0.18249699473381042,0.16962499916553497,0.17205899953842163
2017-11-06,47,0.17337000370025635,0.17347000539302826,0.15691399574279785,0.1674560010433197
2017-11-07,48,0.167835995554924,0.17756499350070953,0.16229400038719177,0.17753900587558746
2017-11-08,49,0.17732800543308258,0.25852200388908386,0.17110200226306915,0.21390900015830994
2017-11-09,50,0.21671299636363983,0.24823300540447235,0.19541099667549133,0.2239689975976944
2017-11-10,51,0.22470000386238098,0.23127999901771545,0.1801609992980957,0.1876019984483719
2017-11-11,52,0.1863979995250702,0.19768700003623962,0.16602599620819092,0.17976999282836914
2017-11-12,53,0.17966699600219727,0.19837599992752075,0.14594799280166626,0.17089800536632538
2017-11-13,54,0.1691170036792755,0.20501400530338287,0.16874299943447113,0.18307100236415863
2017-11-14,55,0.18481500446796417,0.19996799528598785,0.1703999936580658,0.1881140023469925
2017-11-15,56,0.18761299550533295,0.19351300597190857,0.1760299950838089,0.18613800406455994
2017-11-16,57,0.18748199939727783,0.18844400346279144,0.16453100740909576,0.16976100206375122
2017-11-17,58,0.16945500671863556,0.17153500020503998,0.15247699618339539,0.15964899957180023
2017-11-18,59,0.15500900149345398,0.17791199684143066,0.15070199966430664,0.17087200284004211
2017-11-19,60,0.17079800367355347,0.17381200194358826,0.15741600096225739,0.1623540073633194
2017-11-20,61,0.16236600279808044,0.1662829965353012,0.15667200088500977,0.1621830016374588
2017-11-21,62,0.16347600519657135,0.16800500452518463,0.1537960022687912,0.15497200191020966
2017-11-22,63,0.1569799929857254,0.1745689958333969,0.1503179967403412,0.16851499676704407
2017-11-23,64,0.1696549952030182,0.19033800065517426,0.15708500146865845,0.16438399255275726
2017-11-24,65,0.16531699895858765,0.1933789998292923,0.15592700242996216,0.1929209977388382
2017-11-25,66,0.1928109973669052,0.19324199855327606,0.1745939999818802,0.18095900118350983
2017-11-26,67,0.1834920048713684,0.1859229952096939,0.17001700401306152,0.182888001203537
2017-11-27,68,0.182888001203537,0.1855420023202896,0.1719069927930832,0.1841679960489273
2017-11-28,69,0.18682099878787994,0.1921350061893463,0.17558600008487701,0.17642399668693542
2017-11-29,70,0.17656700313091278,0.1822959929704666,0.13796299695968628,0.14525499939918518
2017-11-30,71,0.14735999703407288,0.17679700255393982,0.1421629935503006,0.1704609990119934
2017-12-01,72,0.16952799260616302,0.1795639991760254,0.16126999258995056,0.177823007106781
2017-12-02,73,0.1779409945011139,0.2221750020980835,0.16736100614070892,0.20789800584316254
2017-12-03,74,0.20799799263477325,0.2555280029773712,0.19360700249671936,0.23062899708747864
2017-12-04,75,0.23259499669075012,0.2532700002193451,0.20679299533367157,0.22958099842071533
2017-12-05,76,0.22926999628543854,0.3138769865036011,0.2213509976863861,0.3138769865036011
2017-12-06,77,0.31235799193382263,0.35364899039268494,0.26784199476242065,0.2915700078010559
2017-12-07,78,0.2836900055408478,0.3083530068397522,0.23580700159072876,0.2600640058517456
2017-12-08,79,0.2600040137767792,0.2734859883785248,0.21182399988174438,0.24522599577903748
2017-12-09,80,0.24498499929904938,0.2677049934864044,0.2264149934053421,0.23885899782180786
2017-12-10,81,0.24105499684810638,0.2670010030269623,0.21590900421142578,0.2528980076313019
2017-12-11,82,0.2550790011882782,0.2879509925842285,0.2455269992351532,0.2605920135974884
2017-12-12,83,0.2541140019893646,0.27026399970054626,0.20959599316120148,0.2314240038394928
2017-12-13,84,0.23142799735069275,0.2880130112171173,0.22419099509716034,0.26187801361083984
2017-12-14,85,0.26131999492645264,0.36684298515319824,0.25310200452804565,0.30850300192832947
2017-12-15,86,0.31260401010513306,0.3544520139694214,0.2582240104675293,0.3207930028438568
2017-12-16,87,0.3181990087032318,0.3528600037097931,0.29300498962402344,0.34139299392700195
2017-12-17,88,0.3418479859828949,0.4444209933280945,0.3399060070514679,0.4175960123538971
2017-12-18,89,0.41826900839805603,0.4349069893360138,0.3627830147743225,0.4349069893360138
2017-12-19,90,0.43107500672340393,0.5086029767990112,0.4151279926300049,0.4393559992313385
2017-12-20,91,0.4387289881706238,0.4387289881706238,0.35275599360466003,0.3727959990501404
2017-12-21,92,0.37856200337409973,0.4664340019226074,0.3688110113143921,0.42428699135780334
2017-12-22,93,0.42764800786972046,0.4563310146331787,0.283609002828598,0.4268780052661896
2017-12-23,94,0.4392719864845276,0.7233859896659851,0.4392719864845276,0.5776799917221069
2017-12-24,95,0.5845620036125183,0.6043739914894104,0.4438300132751465,0.5441619753837585
2017-12-25,96,0.5493370294570923,0.5845419764518738,0.48899000883102417,0.5019329786300659
2017-12-26,97,0.506289005279541,0.5496370196342468,0.4359540045261383,0.5214210152626038
2017-12-27,98,0.5157099962234497,0.5306689739227295,0.46053600311279297,0.5055009722709656
2017-12-28,99,0.5027819871902466,0.5136370062828064,0.436506986618042,0.5066969990730286
2017-12-29,100,0.5081610083580017,0.5184469819068909,0.46116000413894653,0.4863480031490326
2017-12-30,101,0.48800399899482727,0.5861279964447021,0.43333300948143005,0.5861279964447021
2017-12-31,102,0.5588089823722839,0.6135380268096924,0.5245159864425659,0.6015520095825195
